DateTime,Epicenter,Lat,Long,Magnitude
2010-04-14 11:00:00,Baglung,28.31,83.09,4.2
2010-04-30 11:00:00,Dolakha,27.75,86.36,4.0
2010-05-13 11:00:00,Lamjung,28.3,84.51,4.2
2010-06-13 11:00:00,Bajura,29.4,81.38,4.5
2010-06-13 11:00:00,Solukhumbu,28.01,86.77,4.0
2010-06-13 11:00:00,Bajura,29.6,81.65,4.8
2010-09-01 11:00:00,Lamjung,28.23,84.37,4.0
2010-11-25 11:00:00,Salyan,28.38,82.32,4.5
2010-11-25 11:00:00,Baglung,28.44,83.17,4.7
2010-11-30 11:00:00,Mahottari,26.93,85.79,4.4
2010-12-05 11:00:00,Bajura,29.57,81.699,4.2
2010-12-18 11:00:00,Gorkha,28.18,84.79,4.1
2011-01-18 11:00:00,Humla,30.03,81.97,4.1
2011-01-18 11:00:00,Sindhupalchowk,27.8,85.94,4.3
2011-02-13 11:00:00,Bhojpur-Sankhuwasabha border,27.47,87.01,4.7
2011-02-22 11:00:00,Sankhuwasabha,27.57,87.01,4.2
2011-03-10 11:00:00,Rasuwa,28.02,85.24,4.3
2011-03-11 11:00:00,Kaski,28.31,83.8,4.3
2011-03-12 11:00:00,Kaski,28.31,83.78,4.4
2011-03-22 11:00:00,Pyuthan,28.11,82.74,4.2
2011-03-22 11:00:00,Kaski,28.35,83.96,4.0
2011-04-04 11:00:00,Darchula,29.92,80.54,5.7
2011-04-04 11:00:00,Darchula,30.0,80.81,4.1
2011-04-05 11:00:00,Darchula,29.74,80.37,4.1
2011-04-07 11:00:00,Sindhupalchowk,27.93,85.61,4.1
2011-06-03 11:00:00,Taplejung,27.6,88.03,5.2
2011-06-11 11:00:00,Rolpa,28.41,82.66,4.2
2011-06-11 11:00:00,Rolpa,28.4,82.55,4.1
2011-06-17 11:00:00,Humla,30.24,81.48,4.2
2011-06-18 11:00:00,Sankhuwasabha,27.83,87.35,4.3
2011-07-15 11:00:00,Sankhuwasabha,27.28,87.3,4.5
2011-07-29 11:00:00,Khotang,27.19,86.76,4.2
2011-08-02 11:00:00,Khotang,27.35,86.35,4.0
2011-08-09 11:00:00,Bajhang,29.9,81.31,4.3
2011-08-15 11:00:00,Ramechhap,27.44,86.27,5.0
2011-08-18 11:00:00,Lamjung,28.21,84.31,4.0
2011-08-19 11:00:00,Bajhang,29.7,81.34,4.9
2011-08-22 11:00:00,Kaski,28.29,83.96,4.0
2011-08-25 11:00:00,Rolpa,28.15,82.53,4.4
2011-08-27 11:00:00,Udayapur,26.94,86.6,5.0
2011-09-18 11:00:00,Taplejung-Sikkim Border,27.78,88.32,6.8
2011-10-01 11:00:00,Humla,30.16,81.81,4.7
2011-10-02 11:00:00,Bajura,29.55,81.68,4.2
2011-11-04 11:00:00,Parbat,28.34,83.66,4.0
2011-11-08 11:00:00,Sindhupalchowk,27.94,85.55,4.1
2011-11-13 11:00:00,Gorkha,28.2,84.93,5.0
2011-11-19 11:00:00,Dolakha,27.7,86.1,4.1
2011-11-23 11:00:00,Dailekh,28.91,81.68,4.2
2011-12-02 11:00:00,Rasuwa,28.05,85.34,4.2
2011-12-08 23:25:00,Pyuthan,27.97,82.86,4.0
2011-12-09 04:42:00,Taplejung,27.83,88.13,4.2
2011-12-14 02:05:00,Taplejung,27.72,88.09,4.9
2011-12-18 03:20:00,Taplejung,27.73,88.16,4.6
2011-12-30 07:55:00,Bajura,29.62,81.53,4.0
2012-01-11 14:44:00,Dailekh,28.89,81.89,4.2
2012-01-18 17:01:00,Siraha,26.63,86.4,4.5
2012-01-19 06:31:00,Humla,29.73,81.91,4.6
2012-01-24 09:52:00,Siraha,26.84,86.43,4.0
2012-02-05 01:51:00,Panchthar,27.25,88.07,4.0
2012-02-14 19:26:00,Taplejung-Sikkim Border,27.38,88.11,4.5
2012-02-14 19:33:00,Taplejung,27.33,88.03,4.4
2012-02-26 04:41:00,Bajhang-Darchula border,29.71,81.02,4.4
2012-02-26 04:53:00,Bajhang-Darchula border,29.86,81.05,4.9
2012-03-19 02:21:00,Karkigaun-Jajarkot,28.7,82.02,4.7
2012-04-11 08:37:00,Bajhang,29.55,81.24,4.3
2012-04-17 04:58:00,Salyan,28.5,82.06,4.2
2012-05-30 15:19:00,Taplejung,27.31,87.88,4.2
2012-06-09 13:39:00,Kaski,28.32,84.17,5.1
2012-06-11 10:20:00,Panchthar - Sikkim border,27.25,88.0,4.5
2012-06-15 22:00:00,Dailekh,28.99,81.58,4.2
2012-07-01 13:39:00,Panchthar - Sikkim border,27.27,88.05,4.0
2012-07-11 23:08:00,Southern Bajhang,29.43,81.03,4.9
2012-07-31 17:35:00,Southern Rukum,28.58,82.48,5.0
2012-07-31 17:43:00,Southern Rukum,28.53,82.42,4.8
2012-07-31 17:50:00,Southern Rukum,28.55,82.37,4.2
2012-08-06 07:38:00,Northern Taplejung,27.77,88.13,4.2
2012-08-23 22:15:00,Rolpa - Rukum border region,28.38,82.84,5.6
2012-08-23 22:27:00,Rolpa,28.39,82.73,4.4
2012-08-24 06:02:00,Rolpa,28.38,82.66,4.4
2012-08-24 09:40:00,Rolpa-Rukum border region,28.42,82.75,5.2
2012-08-28 14:16:00,Southeastern Dailekh,28.73,81.81,4.4
2012-08-29 01:39:00,Northern Rolpa,28.4,82.79,4.3
2012-08-30 19:56:00,Southern Rukum,28.61,82.43,4.5
2012-09-17 15:30:00,Southern Rukum,28.59,82.41,4.4
2012-10-22 12:41:00,Around Kanchanjunga,27.95,87.86,4.5
2012-11-11 00:24:00,Southern Bajhang,29.51,81.13,5.6
2012-11-12 18:27:00,Bajhang,29.55,81.31,4.5
2012-12-04 08:46:00,North East Jajarkot,28.88,82.34,4.0
2012-12-22 11:50:00,Rolpa and Pyuthan border,28.27,82.84,4.5
2013-01-02 23:27:00,Bajhang and Doti border,29.41,81.0,4.7
2013-01-09 13:29:00,Northern part of Bajura,29.82,81.7,5.5
2013-01-13 23:20:00,Siraha,26.84,86.22,4.0
2013-01-18 02:44:00,Bajhang,29.48,81.26,4.5
2013-02-07 06:53:00,Bajhang,29.42,81.05,4.0
2013-02-22 08:26:00,Baglung,28.39,83.18,4.1
2013-03-06 22:34:00,Rukum,28.57,82.27,5.4
2013-03-17 17:44:00,Dhanusha,26.74,86.08,4.2
2013-04-28 00:13:00,Northern Bajhang,29.87,81.26,4.9
2013-05-14 08:58:00,Mugu,29.56,82.0,4.3
2013-05-14 09:03:00,Mugu,29.68,82.0,4.4
2013-05-14 15:44:00,Western Mugu,29.65,81.98,4.5
2013-05-26 23:23:00,Sindhupalchok,27.72,85.91,4.2
2013-05-31 11:49:00,Northern Bajura,29.74,81.6,4.5
2013-06-09 21:56:00,Northern Khotang,27.31,86.7,4.2
2013-06-26 04:07:00,Dhanusha,26.85,85.96,4.4
2013-06-27 12:05:00,Darchula,30.05,80.8,4.4
2013-06-28 17:25:00,Rukum,28.76,82.4,5.5
2013-09-12 10:14:00,Dhankuta,26.96,87.34,4.5
2013-09-22 20:20:00,Humla,30.25,81.55,4.4
2013-10-13 03:28:00,Humla,30.08,81.74,4.5
2013-10-28 07:22:00,Sankhuwasava,27.36,87.37,4.3
2013-11-03 12:32:00,Bajura,29.56,81.68,4.3
2014-03-31 13:36:00,Humla,30.11,81.93,4.4
2014-04-11 23:07:00,Achham,29.29,81.26,4.2
2014-04-23 12:59:00,Taplejung,27.3,87.62,4.0
2014-05-20 00:21:00,Gorkha,28.32,84.73,4.3
2014-05-25 08:31:00,Kaski,28.23,84.09,4.1
2014-07-04 11:43:00,Taplejung,27.83,87.91,4.6
2014-07-07 22:22:00,Bajhang-Darchula border,29.73,80.93,4.2
2014-09-17 16:14:00,Taplejung,27.76,88.05,4.5
2014-11-25 21:34:00,Gorkha,28.25,84.94,4.5
2014-12-18 21:17:00,Solukhumbu,27.73,86.52,5.9
2015-01-06 07:11:00,Dailekh,29.07,81.51,4.5
2015-01-22 15:12:00,Doti,29.36,81.03,4.4
2015-01-31 01:29:00,Kaski,28.29,83.73,5.5
2015-02-14 04:36:00,Bhojpur,27.42,87.01,4.5
2015-04-21 01:37:00,Jajarkot,28.85,82.18,5.1
2015-04-22 12:59:00,Jajarkot,28.8,81.92,4.5
2015-04-23 07:42:00,Kaski,28.4,83.99,4.1
2015-04-25 01:06:00,Dolakha,27.69,86.02,4.9
2015-04-25 01:32:00,Kathmandu,27.68,85.32,4.1
2015-04-25 01:40:00,Sindhupalchowk,27.73,85.9,4.7
2015-04-25 01:53:00,Rasuwa,28.05,85.25,4.1
2015-04-25 02:06:00,Dolakha,27.6,86.09,4.5
2015-04-25 02:10:00,Sindhupalchowk,27.73,85.9,5.0
2015-04-25 02:21:00,Rasuwa,28.14,85.16,4.4
2015-04-25 02:47:00,Sindhupalchowk,27.95,85.56,4.2
2015-04-25 03:57:00,Sindhupalchowk,27.92,85.64,5.3
2015-04-25 04:16:00,Nuwakot,27.8,85.29,4.0
2015-04-25 05:04:00,Sindhupalchowk,27.77,85.83,4.1
2015-04-25 05:09:00,Sindhupalchowk,27.9,85.53,4.0
2015-04-25 05:10:00,Nuwakot,27.78,85.17,4.0
2015-04-25 05:25:00,Rasuwa,28.1,85.27,4.0
2015-04-25 05:31:00,Sindhupalchowk,27.78,85.98,4.1
2015-04-25 11:56:00,Gorkha,28.24,84.75,7.6
2015-04-25 12:30:00,Gorkha,28.28,84.72,6.6
2015-04-25 12:41:00,Rasuwa,28.13,85.65,5.7
2015-04-25 12:53:00,Rasuwa,28.2,85.75,5.3
2015-04-25 14:02:00,Sindhupalchowk,27.78,85.84,5.2
2015-04-25 14:05:00,Dhading,27.9,84.86,5.1
2015-04-25 14:14:00,Gorkha,28.18,84.95,5.2
